Sample_Ratio,Detector,Expected_Peak,Found_Peak,Intensity,FWHM,Area
25 Anisole: 75% MTBE,5 mm,1002,972.535965731144,1.06238519331357,6.89999999999998,5.68000333883406
0% Anisole: 100 MTBE,5 mm,1002,972.535965731144,1.0752023200917,6.89999999999998,5.78530091666851
100% Anisole: 0% MTBE,0 mm,730,717.835965731144,1.74424338641515,7.20000000000005,9.89680946370964
75% Anisole: 25% MTBE,0 mm,730,690.535965731144,3.70766640643329,4.19999999999993,13.4333139723688
50% Anisole: 50% MTBE,0 mm,730,690.535965731144,1.98272061981713,4.19999999999993,7.22359855023102
25 Anisole: 75% MTBE,0 mm,730,717.835965731144,1.77809549619534,7.20000000000005,9.91260131954972
0% Anisole: 100 MTBE,0 mm,730,717.835965731144,1.82453593137235,7.20000000000005,10.1593170440346
100% Anisole: 0% MTBE,1 mm,730,715.735965731144,1.73972809953437,7.5,10.0992237627742
75% Anisole: 25% MTBE,1 mm,730,690.535965731144,3.62546043198525,3.29999999999995,9.29902947805628
50% Anisole: 50% MTBE,1 mm,730,715.735965731144,1.75469804069975,7.79999999999995,10.6012059497185
25 Anisole: 75% MTBE,1 mm,730,715.735965731144,1.76448555273468,7.5,10.2587371170116
0% Anisole: 100 MTBE,1 mm,730,715.735965731144,1.75162790752905,7.5,10.1942322712929
100% Anisole: 0% MTBE,2 mm,730,715.735965731144,1.74832788601901,7.80000000000007,10.5148249548272
75% Anisole: 25% MTBE,2 mm,730,690.535965731144,2.96852507193611,2.69999999999993,6.08510284097685
50% Anisole: 50% MTBE,2 mm,730,715.735965731144,1.7507754662261,7.80000000000007,10.6817080493949
25 Anisole: 75% MTBE,2 mm,730,715.735965731144,1.82124854947531,7.80000000000007,10.9402979528031
0% Anisole: 100 MTBE,2 mm,730,715.735965731144,1.77846428471261,7.80000000000007,10.5760407365147
100% Anisole: 0% MTBE,3 mm,730,713.635965731144,1.71281532181085,8.70000000000005,11.6136594126501
75% Anisole: 25% MTBE,3 mm,730,690.235965731144,2.18485908991295,2.39999999999998,3.94244157319936
50% Anisole: 50% MTBE,3 mm,730,713.635965731144,1.71044922942937,8.39999999999998,11.1099987648916
25 Anisole: 75% MTBE,3 mm,730,713.635965731144,1.7300547783091,8.70000000000005,11.9471966610717
0% Anisole: 100 MTBE,3 mm,730,713.635965731144,1.74605070764969,8.39999999999998,11.6660969945609
100% Anisole: 0% MTBE,4 mm,730,713.635965731144,1.76087520756992,8.40000000000009,11.4475307281341
