Sample_Ratio,Detector,Expected_Peak,Found_Peak,Intensity,FWHM,Area
75% Anisole: 25% MTBE,4 mm,1002,972.535965731144,1.10735414662188,7.20000000000005,6.29339735105274
50% Anisole: 50% MTBE,4 mm,1002,972.535965731144,1.12927818840491,6.89999999999998,6.15690713915336
25 Anisole: 75% MTBE,4 mm,1002,972.535965731144,1.15270404615977,6.89999999999998,6.25606903267458
0% Anisole: 100 MTBE,4 mm,1002,972.535965731144,1.12677687979837,7.20000000000005,6.40425349106747
100% Anisole: 0% MTBE,5 mm,1002,970.735965731144,1.09497354818554,6.60000000000002,5.68010688487449
75% Anisole: 25% MTBE,5 mm,1002,970.735965731144,1.11054573343161,6.60000000000002,5.79752139095215
50% Anisole: 50% MTBE,5 mm,1002,970.735965731144,1.11266665229714,6.30000000000007,5.63444974309578
25 Anisole: 75% MTBE,5 mm,1002,972.535965731144,1.10659721613742,6.60000000000002,5.88502969903628
0% Anisole: 100 MTBE,5 mm,1002,970.735965731144,1.13960706036561,6.60000000000002,5.90577021986864
100% Anisole: 0% MTBE,0 mm,730,717.835965731144,1.89717547248535,6,9.27517696828175
75% Anisole: 25% MTBE,0 mm,730,717.835965731144,2.00810157927039,6.30000000000007,10.0850305957853
50% Anisole: 50% MTBE,0 mm,730,717.835965731144,1.95982732445299,6,9.56979976292573
25 Anisole: 75% MTBE,0 mm,730,717.835965731144,1.94646959027978,6,9.35728694127096
0% Anisole: 100 MTBE,0 mm,730,717.835965731144,1.99254109431032,6.29999999999995,9.90727596622965
100% Anisole: 0% MTBE,1 mm,730,717.835965731144,1.93426713837139,6.29999999999995,9.32680865173198
75% Anisole: 25% MTBE,1 mm,730,717.835965731144,1.94481864122262,6.90000000000009,10.2531231837972
50% Anisole: 50% MTBE,1 mm,730,717.835965731144,1.95984078080227,6.29999999999995,9.397584622969
25 Anisole: 75% MTBE,1 mm,730,717.835965731144,1.99621910651986,6.29999999999995,9.42221335329654
0% Anisole: 100 MTBE,1 mm,730,717.835965731144,1.98970582471055,6.60000000000002,10.0716195475638
100% Anisole: 0% MTBE,2 mm,730,715.735965731144,1.88420070680298,7.20000000000005,10.2809560444377
75% Anisole: 25% MTBE,2 mm,730,715.735965731144,1.909728626014,7.20000000000005,10.5036157001712
50% Anisole: 50% MTBE,2 mm,730,715.735965731144,1.88450187316407,6.90000000000009,9.92618854432511
25 Anisole: 75% MTBE,2 mm,730,715.735965731144,1.86965129005582,7.20000000000005,10.2221063944977
0% Anisole: 100 MTBE,2 mm,730,715.735965731144,1.90429033343067,7.20000000000005,10.4308547720976
100% Anisole: 0% MTBE,3 mm,730,715.435965731144,1.75993192862589,8.10000000000002,11.2149666987107
75% Anisole: 25% MTBE,3 mm,730,715.435965731144,1.7696427712608,8.39999999999998,11.73760679904
50% Anisole: 50% MTBE,3 mm,730,715.435965731144,1.77548481034346,7.80000000000007,10.9501864015848
25 Anisole: 75% MTBE,3 mm,730,715.435965731144,1.78778310603823,7.80000000000007,11.0885123636164
0% Anisole: 100 MTBE,3 mm,730,715.435965731144,1.77594903029874,8.10000000000002,11.4259333011055
100% Anisole: 0% MTBE,4 mm,730,713.635965731144,1.78216220244919,7.79999999999995,10.8944581739952
